userid,fans,friends,sunshine_credit_level,school,location,gender,birthday,created_at,description,followers_num
7775230594,[],['1776448504'],信用较低,,,m,2009-04-26 金牛座,2022-07-23 22:25:22,暂无简介,0
7623845742,[],['1776448504'],信用一般,,广东 东莞,m,2002-10-18 天秤座,2021-06-09 19:08:43,暂无简介,0
7849182613,[],['3623353053'],,,,m,2004-01-04 摩羯座,2023-06-28 20:55:14,ikun成员,0
6372703301,[],"['1776448504', '1557805744', '6076584808', '6071270772', '5204743880', '1708288403', '1726362383', '1211441627', '1790942835']",信用一般,,浙江 宁波,m, ,2017-09-30 10:14:10,暂无简介,0
6617818262,[],"['2607803303', '7818907874', '2389396110']",信用较好,,,m,巨蟹座,2018-07-31 19:03:10,Carpe diem🌠,0
7845425324,[],['5371270388'],信用较低,,,m, ,2023-06-13 23:21:58,暂无简介,0
7808015958,[],"['1776448504', '7516920610']",信用较低,,其他,m, ,2022-12-14 14:20:32,暂无简介,0
7812837011,[],"['1776448504', '7599966591', '6996672318', '2002400427']",信用较低,,,m, ,2023-01-06 02:37:36,暂无简介,0
7809809264,[],"['1776448504', '2974329424', '2538168201', '7783733295', '6752967536']",信用较低,,其他,m, ,2022-12-22 14:42:26,暂无简介,0
7504600358,[],['2687827715'],信用一般,,其他,m, ,2020-09-19 19:56:15,暂无简介,0
7741897542,[],"['1776448504', '1937059462', '5254886684', '7659114700']",信用一般,,其他,m, ,2022-02-14 10:49:06,暂无简介,0
7796373270,[],"['1776448504', '7754577203', '7460277193', '6036380646', '7566954229']",信用一般,,,f, ,2022-10-18 13:09:35,暂无简介,0
7741321658,[],['1776448504'],信用一般,,其他,m, ,2022-02-10 11:31:31,暂无简介,0
7576439878,[],"['5308419171', '6495544869', '7843410487', '1497033123', '5490237169', '5326474572', '6322814019', '5264098066', '3896037652']",信用一般,,,m, ,2021-03-14 22:43:29,暂无简介,0
7697363650,[],"['1776448504', '2710267057']",信用一般,,黑龙江 齐齐哈尔,f,1993-09-12 处女座,2021-09-12 23:19:28,暂无简介,0
7828311327,[],"['1776448504', '3905238264']",信用较低,,其他,m, ,2023-03-20 22:06:11,暂无简介,0
7848813171,[],['1776448504'],,,其他,m, ,2023-06-28 20:55:17,暂无简介,0
7686144149,[],['1776448504'],信用较低,,,m, ,2021-08-29 22:54:49,暂无简介,0
7645379065,[],['1350965992'],信用一般,,重庆 沙坪坝区,f,2000-11-08 天蝎座,2021-07-11 16:01:34,暂无简介,0
7799121226,[],"['1776448504', '6094345507']",信用较低,,其他,m, ,2022-11-02 10:04:31,暂无简介,0
7849247599,[],['1642351362'],,,其他,f, ,2023-06-28 20:56:17,暂无简介,0
7849108208,[],['7677972054'],,,,f,2010-09-15 处女座,2023-06-28 11:39:32,暂无简介,0
7848812944,[],['1893711543'],,,其他,m, ,2023-06-28 20:47:09,暂无简介,0
7626991402,[],['1776448504'],信用一般,,其他,m, ,2021-06-14 09:24:33,暂无简介,0
7848963513,[],"['5884696086', '7634380589', '7785772638', '5620408709', '6998907805', '2233608661', '2380750587', '6319922675', '1642286230']",,,,m,2007-03-31 白羊座,2023-06-28 20:53:50,暂无简介,0
7840295284,[],['1776448504'],信用较低,,陕西,m,2000-12-28 摩羯座,2023-05-21 11:47:00,只因你太美～,0
5556377266,['5511934097'],"['1776448504', '2606923882', '1778742953', '1743674793', '5165158719', '5075896867', '5522775002', '2638938644', '3760126585']",信用较好,,安徽 阜阳,f,2000-11-05 天蝎座,2015-03-14 19:59:33,唯爱晨翔,0
7815464035,[],['1776448504'],信用一般,,黑龙江 绥化,f,2000-01-01 摩羯座,2023-01-15 18:18:47,暂无简介,0
7849311786,[],"['1776448504', '2034352974', '2511711495']",,,其他,m, ,2023-06-28 20:53:54,暂无简介,0
7634262696,[],['5994946077'],信用较低,,其他,m, ,2021-06-26 10:03:36,暂无简介,0
7520446914,[],['1776448504'],信用较低,,北京,f, ,2020-11-08 09:02:39,暂无简介,0
7849118516,[],['1776448504'],,,其他,m, ,2023-06-28 20:52:43,暂无简介,0
7848464984,[],['1776448504'],信用较低,,浙江 宁波,f,2005-03-28 白羊座,2023-06-27 17:34:46,暂无简介,0
7848887569,[],"['1776448504', '1880954931', '2258106101', '1654863421', '1182426800', '5957947374', '7575030448', '1726349245', '1740798545']",,,,f,2004-08-11 狮子座,2023-06-28 20:37:36,暂无简介,0
7463691672,[],"['1776448504', '6528586817', '7505744299', '7463997436', '7548574552', '5733544636', '2230588921', '1659333817', '5263389118']",信用一般,,,m, ,2020-06-24 15:18:57,暂无简介,0
6807251645,[],['1776448504'],信用较低,,其他,m,2007-07-22 巨蟹座,2020-07-12 11:00:43,ʸᵒᵘ ᵒᵚⁿ ᵐʸ💝我一直在这里，等风也等你,0
7812461487,[],"['6449939907', '5860118409', '2340889702', '1044050885', '6518643380']",信用较低,,其他,f,2007-12-11 射手座,2023-01-03 13:57:24,暂无简介,0
5862224648,[],"['1776448504', '5854511481', '2577495072', '3159005875', '1705586121', '5880065475', '5167495112', '3748534967', '6105641942']",信用较好,,湖北,m,2000-01-01 摩羯座,2016-02-18 21:18:10,暂无简介,0
7754282276,[],['1594052081'],信用较低,,,f,2003-09-29 天秤座,2022-04-16 14:06:58,暂无简介,0
7337981801,[],"['1776448504', '2478838621', '7363314646']",信用一般,,重庆,m,2002-03-17 双鱼座,2019-11-16 09:19:34,天生我材必有用，千金散尽还复来。,0
7792874245,[],['1537790411'],信用较低,,其他,m, ,2022-09-28 14:06:34,暂无简介,0
7849118479,[],"['7772969859', '7634380589', '1170229657', '5305841349', '2612956947', '7073845624', '7744075921', '2435539977', '1660963912']",,,其他,m,2006-07-02 巨蟹座,2023-06-28 20:51:03,暂无简介,0
7809969036,[],['1776448504'],信用较低,,,m, ,2022-12-23 01:07:27,暂无简介,0
7849054162,[],"['1776448504', '1750755780', '5243100282']",,,其他,m, ,2023-06-28 20:45:43,暂无简介,0
7603581772,[],"['1776448504', '5596849642', '5194624198', '3834745067', '6228063342', '2189353245', '1823980351', '2000168577', '2015726625']",信用较低,,其他,m, ,2021-05-02 22:58:33,暂无简介,0
7637558388,[],"['1776448504', '1635603160', '3623353053', '3264072325']",信用较好,,,f,2002-08-16 狮子座,2021-06-29 23:17:55,暂无简介,0
7278862926,[],['1776448504'],信用较好,,,m, ,2019-08-11 06:08:43,暂无简介,0
7264968579,[],['1776448504'],信用较低,,,m,1998-12-15 射手座,2019-07-27 18:07:37,暂无简介,0
7823813826,[],['1776448504'],信用较低,,黑龙江,m,2008-09-24 天秤座,2023-02-28 22:09:54,暂无简介,0
7818756618,[],"['1776448504', '7715091056', '2891532163', '1861369592', '2413714971']",信用较低,,安徽 亳州,m,2003-02-14 水瓶座,2023-02-02 14:09:47,暂无简介,0
7849182269,[],['1776448504'],,,其他,m, ,2023-06-28 20:37:55,暂无简介,0
5866558223,[],"['1776448504', '1680990025', '1867082024', '6225990601', '1689664143', '1649173367', '2824513774']",信用较好,,其他,m, ,2016-02-22 23:33:58,暂无简介,0
7846115471,[],['1776448504'],信用较低,,其他,f, ,2023-06-15 00:35:48,暂无简介,0
7361389768,[],['1776448504'],信用较低,,其他,m, ,2019-12-25 08:59:41,暂无简介,0
7848739049,[],"['6307950397', '6215683451', '6602088374', '1315294782', '6089616767', '2820724107', '7475590771', '5653796775', '1679117561']",,,,f,2009-06-29 巨蟹座,2023-06-28 21:08:45,暂无简介,0
7849311958,[],"['1776448504', '1566165751', '3853697130']",,,其他,m,2005-04-11 白羊座,2023-06-28 21:01:40,暂无简介,0
7833039599,[],"['1776448504', '5615033747', '1201834052']",信用较低,,其他,f, ,2023-04-13 20:37:39,暂无简介,0
7372319567,[],"['1776448504', '2519542552']",信用较低,,湖南,m,2020-01-15 摩羯座,2020-01-15 10:45:55,暂无简介,0
7849039622,[],"['7457158939', '1094857297', '6326468137', '7452565077', '1750591023', '5045596961', '7808235451', '1842097443']",,,,f,2000-12-09 射手座,2023-06-28 21:02:16,暂无简介,0
7718466703,[],"['1776448504', '1712686623', '5609392620', '5111847144', '7358862362', '7133791600', '5726715057', '1634723035']",信用一般,,其他,f,1995-01-03 摩羯座,2021-10-31 13:04:34,暂无简介,0
6912092561,[],"['1776448504', '3849034512', '5780974966', '1549364094']",信用一般,,其他,m, ,2018-12-31 23:25:38,暂无简介,0
7845834820,[],"['1776448504', '5917804563', '7460037878', '2028810631']",信用较低,江南大学,其他,f, ,2023-06-14 21:27:30,暂无简介,0
7740321200,[],"['1459567682', '3171417454']",信用较低,,其他,m, ,2022-02-03 15:58:38,暂无简介,0
7617313410,[],['1776448504'],信用一般,,其他,m, ,2021-05-29 09:43:11,暂无简介,0
7849182820,[],['2839635900'],,,其他,m, ,2023-06-28 21:03:53,暂无简介,0
7592448264,[],"['7805171914', '6444163742', '5867725478']",信用一般,,,m, ,2021-04-14 16:25:06,暂无简介,0
7848398518,[],"['1776448504', '5255288805', '5953220644']",信用较低,,其他,m,1999-05-20 金牛座,2023-06-27 12:00:47,暂无简介,0
7833919580,[],['1776448504'],信用一般,,,f, ,2023-04-18 17:51:06,暂无简介,0
7849312077,[],"['5254886684', '2313571274', '1449324550', '7523435237', '2732343405', '7646070627', '3307478560', '1217613745', '5830685386']",,,山东 临沂,f,2000-08-07 狮子座,2023-06-28 21:06:17,暂无简介,0
5934258907,['7372877247'],"['1776448504', '3293023823']",信用一般,,广东 汕头,m, ,2016-05-15 13:21:58,懒人一个,0
7562851304,[],"['1776448504', '5698683072', '7181006004', '2994928584', '6232023735', '1733852392']",信用较低,,其他,m, ,2021-02-10 19:26:48,暂无简介,0
7813909446,[],['5869371787'],信用较低,,其他,f, ,2023-01-11 21:30:29,暂无简介,0
7634688145,[],"['1776448504', '5781292544']",信用一般,,重庆,f,2006-06-26 巨蟹座,2021-06-26 14:50:38,暂无简介,0
7841751153,[],['1776448504'],信用较低,,其他,f, ,2023-05-29 22:03:16,暂无简介,0
7770130968,[],['1776448504'],信用较低,,其他,m, ,2022-06-27 23:11:03,暂无简介,0
7849039591,[],"['1776448504', '1784952645', '7847372284', '1575892145', '2954186642', '2588315391', '3190654415']",,,云南 昆明,f,2009-05-08 金牛座,2023-06-28 21:01:27,暂无简介,0
7794195869,[],['5350509769'],信用较低,,其他,m, ,2022-10-04 00:00:38,暂无简介,0
6540541570,[],['1776448504'],信用较低,,,m, ,2018-05-03 20:02:27,暂无简介,0
7187397745,[],"['1776448504', '2646681810']",信用较低,,其他,m, ,2019-06-10 00:30:03,暂无简介,0
7393810882,[],['1776448504'],信用较低,,陕西 西安,f,2007-01-01 摩羯座,2020-02-16 19:18:32,暂无简介,0
6210755840,[],"['1776448504', '7542172878', '1719244755']",信用一般,,,m, ,2017-04-13 20:09:20,破烂不堪的自己慢慢的拼起来了,0
7758580471,[],"['5350509769', '1736752180']",信用一般,,,f,2002-08-15 狮子座,2022-05-07 08:05:54,暂无简介,0
6394789919,[],['1776448504'],信用较低,,福建 福州,m, ,2017-10-26 20:46:01,暂无简介,0
7832890146,[],['1776448504'],信用较低,,,f,2004-10-10 天秤座,2023-04-14 22:50:35,暂无简介,0
7546375818,[],"['1806963941', '7822659951', '1751354641', '1290364693']",信用较低,,其他,f, ,2021-01-06 20:35:02,暂无简介,0
5876575190,[],"['6927629563', '5824054245', '5886576301', '1855787821', '1705975220', '1644461042']",信用较好,沈阳工程学院,,m,2000-04-16 白羊座,2016-03-08 13:36:45,一无是处，但还活着。,0
7849247657,[],['6405169440'],,,其他,f, ,2023-06-28 20:59:46,暂无简介,0
7788049739,[],"['6927629563', '5631168585']",信用一般,,,m, ,2022-09-06 14:26:14,暂无简介,0
7554968644,[],['1776448504'],信用较低,,其他,m, ,2021-01-23 17:58:31,暂无简介,0
7849039507,[],['7831710907'],,,其他,m,2005-09-15 处女座,2023-06-28 20:58:35,暂无简介,0
7849118622,[],"['1776448504', '6860899624', '5263785928']",,,江苏 连云港,m,2008-05-12 金牛座,2023-06-28 20:58:56,暂无简介,0
7810389512,[],['1776448504'],信用较低,,其他,m, ,2022-12-26 12:59:08,去发光，而不是被点亮,0
7774387558,[],"['1776448504', '1669879400']",信用一般,,,f,2004-07-27 狮子座,2022-07-20 01:06:12,暂无简介,0
7840501656,[],"['1776448504', '6100165591', '1781234157', '2390858634', '7753995077', '7368224734']",信用较低,,,m, ,2023-05-23 21:22:05,暂无简介,0
7791802188,[],['1776448504'],信用一般,,,f,2008-06-22 巨蟹座,2022-09-23 19:41:37,暂无简介,0
7848327859,[],"['7837571274', '3047752785']",信用较低,,,m,2005-08-01 狮子座,2023-06-25 02:35:06,暂无简介,0
7731318075,[],"['1776448504', '3021522323']",信用较低,,其他,m, ,2021-12-21 18:15:58,暂无简介,0
7740173328,[],"['1776448504', '3048800300', '7746946438', '7391925585', '7272406145', '7634755077', '5292229546', '2595327530', '3829080447']",信用一般,,,f,2008-01-16 摩羯座,2022-02-07 10:10:21,暂无简介,0
5950081207,[],"['1776448504', '5350273503', '6041152997', '5053469079', '2501519087']",信用较低,,河北 邢台,m, ,2016-06-10 17:12:55,暂无简介,0
7834589078,[],['6927629563'],信用较低,,,f, ,2023-04-24 21:16:51,暂无简介,0
6044198903,[],"['1776448504', '1644948230', '3215951873', '3167104922']",信用较低,,其他,m, ,2016-10-12 22:30:04,暂无简介,0
7831674829,[],"['1776448504', '6437909985', '3285352491']",信用较低,,其他,m,2004-07-15 巨蟹座,2023-04-05 18:21:44,暂无简介,0
7849247532,[],['1776448504'],,,其他,m,1901-12-09 射手座,2023-06-28 20:52:45,暂无简介,0
7847721572,[],"['5934019851', '6534539333']",信用较低,,,m, ,2023-06-23 22:31:28,暂无简介,0
7824087488,[],"['1776448504', '5563930931', '1572102753', '2028810631', '7342425995', '6442017617']",信用一般,,其他,m, ,2023-02-26 22:10:09,暂无简介,0
7413527041,[],"['6880826706', '6465860612', '3266712030', '7042634613', '2580571483', '3027361555', '1846456085', '7383887932', '1865949640']",信用一般,,福建,m,2004-03-08 双鱼座,2020-03-16 14:57:05,暂无简介,0
7655882448,[],"['1776448504', '1746278665', '7531333810', '1973516833', '1856136454', '2318910945', '6620925017', '1962238094']",信用一般,,其他,f, ,2021-07-25 14:34:57,暂无简介,0
7776020089,[],['1776448504'],信用较低,,广东,m,1995-01-23 水瓶座,2022-07-23 16:16:18,暂无简介,0
7772674374,[],"['1776448504', '5997871169']",信用一般,,其他,m,2004-07-15 巨蟹座,2022-07-15 10:14:00,暂无简介,0
7819487224,[],['1776448504'],信用较低,,,m, ,2023-02-03 14:17:53,暂无简介,0
7848963580,[],"['1776448504', '6713542528', '5663896444']",,,江苏,m,2005-06-05 双子座,2023-06-28 20:56:26,暂无简介,0
7812837011,[],"['1776448504', '7599966591', '6996672318', '2002400427']",信用较低,,,m, ,2023-01-06 02:37:36,暂无简介,0
7849238164,[],"['1776448504', '6073802030', '6718924836', '1921845007', '1793915215', '6456430366', '7386678953']",,,其他,m, ,2023-06-28 12:26:34,暂无简介,0
7848813061,[],"['6091143485', '6207194144']",,,,f,狮子座,2023-06-28 20:51:11,天天开心🥳,0
2322101447,[],['1705586121'],信用一般,,,m,处女座,2011-08-25 12:42:17,暂无简介,0
7848888114,[],['1776448504'],,,其他,m, ,2023-06-28 20:56:48,暂无简介,0
7639214575,[],"['1776448504', '6670517617']",信用一般,,其他,m, ,2021-06-30 22:51:27,暂无简介,0
5928185308,['6153197359'],"['1776448504', '1598786113', '1803648617', '5639680751', '7154701557', '1661253030', '1227368500', '7344823135', '6420207784']",信用较好,,,f, ,2016-05-10 13:55:59,只可远观,0
1849999842,[],"['1776448504', '2650779065', '2756004783', '1497694213', '1927355635']",信用一般,,江苏 南通,f,1989-11-25 射手座,2010-10-12 08:07:09,你离开后，我不爱了，是多么值得||庆幸||的事。何必因着过去的日子逼自己爱呢？,0
7848888115,[],['1776448504'],,,其他,m, ,2023-06-28 20:56:50,暂无简介,0
7848813170,[],"['1537790411', '1947224327', '6027451129', '7525121384']",,,山东 菏泽,f,2004-12-08 射手座,2023-06-28 20:55:17,暂无简介,0
7812824703,[],['1776448504'],信用一般,,,f,2009-07-27 狮子座,2023-01-05 17:45:52,追星要有仪式感，刘宇宁我的偶像,0
7673082544,[],"['1776448504', '5961019705', '3679784202', '2350338381', '6402167499', '1565985673', '2165201815']",信用较低,,安徽,f,2006-06-15 双子座,2021-08-16 18:22:58,暂无简介,0
7819452345,[],['1776448504'],信用较低,,其他,f,摩羯座,2023-02-05 00:04:14,暂无简介,0
7781665143,[],"['1776448504', '6960161079']",信用一般,,河南,m,2004-06-03 双子座,2022-08-12 07:57:49,暂无简介,0
7844991986,[],['1776448504'],信用较低,,,f, ,2023-06-11 18:23:30,努力必有回报,0
7848813152,[],['5508389684'],,,其他,m, ,2023-06-28 20:54:43,暂无简介,0
7849039386,[],['1776448504'],,,其他,m, ,2023-06-28 20:53:50,暂无简介,0
7513123008,[],"['1776448504', '6355968578', '3296528114']",信用较好,,,f,2000-06-01 双子座,2020-10-17 11:32:14,暂无简介,0
7757392534,[],"['1776448504', '6449717558', '2355927983', '7599776342', '6546829742']",信用一般,,其他,m,2006-01-22 水瓶座,2022-05-03 01:41:45,暂无简介,0
7849039416,[],['1776448504'],,,其他,m, ,2023-06-28 20:54:59,暂无简介,0
7484788467,[],"['1776448504', '2606502443', '1901382322', '2493871333', '7560238320', '2600825323', '7396009734', '5346893130', '2865294160']",信用一般,江苏省靖江高级中学,江苏,m,2005-12-26 摩羯座,2020-07-28 18:52:33,是个高中生，偶尔犯中二,0
7448632253,[],['1776448504'],信用较低,,其他,m, ,2020-05-02 12:52:24,暂无简介,0
7765368335,[],"['1776448504', '6031055845', '3886561523', '1806446424']",信用较低,,,m, ,2022-06-05 15:33:58,暂无简介,0
7845031114,[],['1776448504'],信用较低,,其他,m, ,2023-06-10 22:31:30,暂无简介,0
7849054302,[],"['1776448504', '1789840501', '7109423285']",,,其他,m, ,2023-06-28 20:53:07,暂无简介,0
7441791168,[],['1776448504'],信用较低,,其他,m, ,2020-04-23 11:49:44,暂无简介,0
7748362671,[],"['5350509769', '6912113369', '7507926021', '6290114447']",信用一般,,,f,处女座,2022-04-01 09:13:25,暂无简介,0
6079826668,[],"['1776448504', '1133689395']",信用较低,,,m, ,2016-12-03 13:42:56,暂无简介,0
7824432593,[],['1776448504'],信用一般,,其他,m, ,2023-03-04 08:37:04,暂无简介,0
5143333792,[],"['1776448504', '2700797874']",信用较好,北大附中新疆分校,新疆 昌吉,m,2002-03-17 双鱼座,2014-05-17 19:32:23,🦦,0
7730701750,[],['1776448504'],信用较低,,其他,f, ,2021-12-21 21:06:24,暂无简介,0
7771240927,[],['1776448504'],信用较低,,其他,m, ,2022-07-04 21:23:39,暂无简介,0
7650551198,[],['1776448504'],信用一般,,河南,m,2003-10-13 天秤座,2021-07-20 09:09:36,暂无简介,0
7835774554,[],['1776448504'],信用一般,,其他,m, ,2023-04-28 22:43:25,暂无简介,0
7848812923,[],['1776448504'],,,其他,m,2022-10-18 天秤座,2023-06-28 20:46:34,暂无简介,0
7834713270,[],"['5953194884', '2750228441', '5149438022', '1763920324', '3478969421', '2305179711', '7491845908', '1781234157', '6098256253']",信用较低,蓝天实验学校,,m,巨蟹座,2023-04-23 12:33:03,人を好きになるには執着しなければならないよ。,0
7644775727,[],"['1776448504', '6778681944', '7822434966', '5782774494', '3936242896', '7339351819']",信用一般,,,f, ,2021-07-10 13:36:22,暂无简介,0
7848958123,[],"['1776448504', '7389818797', '7781218487']",,,其他,m, ,2023-06-28 17:27:45,暂无简介,0
7848647332,[],['1776448504'],信用较低,,其他,m,2005-04-28 金牛座,2023-06-27 15:38:33,暂无简介,0
6600956009,[],"['1776448504', '5794254031', '3925382304']",信用较好,河北柏乡中学,,m,2003-08-01 狮子座,2018-07-14 21:38:10,暂无简介,0
7835517553,[],['1776448504'],信用较低,,其他,m, ,2023-04-26 20:33:17,暂无简介,0
7504743019,[],['1776448504'],信用较低,,其他,m, ,2020-09-21 13:06:44,暂无简介,0
3190313780,[],"['6425653819', '2715025067']",信用较好,,,f,1994-08-29 处女座,2014-03-11 22:42:12,向来缘浅，奈何情深 ❤️,0
7848963330,[],['6423838632'],,,,f, ,2023-06-28 20:47:24,一切乱糟糟 你在就好了૮₍˃ᯅ˂₎ა,0
7795925571,[],"['7552423047', '6927629563']",信用一般,,,m,2009-10-29 天蝎座,2022-10-15 20:39:22,喜欢庄达菲,0
7842231147,[],['1776448504'],信用较低,,其他,f, ,2023-05-30 16:12:05,暂无简介,0
7783858211,[],['1776448504'],信用一般,,,f,2006-04-10 白羊座,2022-08-22 14:51:54,暂无简介,0
5315832677,"['7316357957', '7768732202', '5016168371', '5297198930', '6443748568', '6324358611']","['7473283198', '2387134120', '7689734536', '1239246050']",信用较好,南京工业大学,,m,1997-07-28 狮子座,2014-10-04 14:05:50,Lovely Special Person,0
7846483145,[],"['1776448504', '1881976852', '1819858453', '7437631681', '5722442967']",信用较低,,其他,m,2007-10-24 天蝎座,2023-06-17 09:27:10,暂无简介,0
7841893637,[],['1776448504'],信用较低,,其他,f, ,2023-05-27 14:09:42,暂无简介,0
7357183777,[],"['1776448504', '1771925961']",信用较好,,,m,摩羯座,2019-12-18 08:21:01,暂无简介,0
7810350297,[],['1776448504'],信用一般,,,f,2001-10-06 天秤座,2022-12-24 14:23:56,.,0
